client_id,account_id,genero,idade,nome_distrito,regiao,salario_medio_distrito,taxa_desemprego_96,frequency,saldo_medio,num_transacoes,volume_movimentado,emprestimo_ativo,valor_emprestimo,num_cartoes
64,55,M,73,Strakonice,south Bohemia,8547,3.64,POPLATEK MESICNE,16824.97333333333,150,298757,0,0.0,0
65,56,F,56,Svitavy,east Bohemia,8187,5.45,POPLATEK MESICNE,34957.84300341297,293,1761931,0,0.0,0
66,57,F,48,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,43838.76078431372,255,1955880,0,0.0,0
67,58,F,67,Rokycany,west Bohemia,8843,3.6,POPLATEK MESICNE,12628.87591240876,137,317495,0,0.0,0
68,59,M,53,Hradec Kralove,east Bohemia,9425,2.5,POPLATEK MESICNE,45484.73246753247,385,1802407,0,0.0,0
70,61,M,74,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,19932.36283185841,339,474598,0,0.0,0
72,62,M,76,Pardubice,east Bohemia,9538,1.81,POPLATEK MESICNE,23603.59831460674,356,698850,0,0.0,0
73,63,M,75,Domazlice,west Bohemia,8620,1.25,POPLATEK MESICNE,26384.81395348837,129,224742,0,0.0,0
75,64,F,22,Zlin,south Moravia,9624,2.31,POPLATEK MESICNE,24198.56818181818,44,217928,0,0.0,0
76,65,F,32,Liberec,north Bohemia,9198,4.28,POPLATEK MESICNE,53423.298342541435,181,1357458,0,0.0,1
77,66,F,43,Hl.m. Praha,Prague,12541,0.43,POPLATEK PO OBRATU,64825.601265822785,316,5879320,0,0.0,1
78,67,F,55,Jindrichuv Hradec,south Bohemia,8427,1.54,POPLATEK MESICNE,56893.405759162306,382,4518183,0,165960.0,0
79,68,F,30,Litomerice,north Bohemia,9065,5.39,POPLATEK PO OBRATU,65934.16981132075,424,3645529,0,0.0,1
80,69,F,20,Zlin,south Moravia,9624,2.31,POPLATEK MESICNE,29508.928571428572,196,501152,0,0.0,0
81,70,M,23,Mlada Boleslav,central Bohemia,11277,1.44,POPLATEK MESICNE,38459.75102040816,245,915239,0,0.0,0
83,71,F,21,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,51627.147177419356,496,2695819,0,0.0,1
85,72,M,38,Hl.m. Praha,Prague,12541,0.43,POPLATEK TYDNE,55671.09504132231,242,3287346,0,0.0,0
87,73,F,53,Olomouc,north Moravia,8994,4.79,POPLATEK MESICNE,48022.07377049181,366,2564611,0,0.0,1
89,75,F,48,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,24760.167441860463,215,1085901,0,0.0,0
90,76,M,24,Usti nad Orlici,east Bohemia,8363,3.49,POPLATEK MESICNE,29175.969325153375,163,580237,0,0.0,0
91,77,M,59,Vyskov,south Moravia,8288,4.52,POPLATEK MESICNE,29181.384615384617,104,927958,0,0.0,0
92,78,F,33,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,35816.94587628866,388,2469502,0,0.0,0
93,79,M,74,Beroun,central Bohemia,8980,2.21,POPLATEK MESICNE,19563.51923076923,104,191752,0,0.0,0
94,80,M,52,Hradec Kralove,east Bohemia,9425,2.5,POPLATEK MESICNE,19465.238636363636,176,243714,0,0.0,0
96,81,M,27,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,26561.589861751152,217,235073,0,0.0,0
97,82,M,34,Plzen - mesto,west Bohemia,10787,3.09,POPLATEK MESICNE,61863.47289156626,332,4840846,0,0.0,0
98,83,F,26,Decin,north Bohemia,8705,7.61,POPLATEK MESICNE,24506.529002320185,431,1417985,0,0.0,0
100,84,F,57,Chrudim,east Bohemia,8254,3.76,POPLATEK PO OBRATU,47136.398104265405,211,2374918,0,0.0,0
101,85,M,56,Frydek - Mistek,north Moravia,9893,4.72,POPLATEK MESICNE,29104.953703703704,108,311183,0,0.0,0
102,86,F,41,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,20226.519512195122,410,444927,0,0.0,0
105,88,M,19,Tachov,west Bohemia,8930,4.2,POPLATEK MESICNE,19335.35714285714,140,184682,0,0.0,0
106,89,F,31,Frydek - Mistek,north Moravia,9893,4.72,POPLATEK MESICNE,29212.60655737705,61,159216,0,0.0,0
107,90,M,27,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,31181.625820568926,457,2839857,0,0.0,0
108,91,M,36,Pelhrimov,south Bohemia,8114,2.62,POPLATEK MESICNE,21705.569620253165,79,537088,0,0.0,0
110,93,F,32,Benesov,central Bohemia,8507,1.85,POPLATEK MESICNE,26405.223776223775,143,488783,0,0.0,0
112,95,M,64,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,54172.36866359447,217,2284032,0,0.0,1
114,96,F,30,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,75665.49773071104,661,6749870,0,0.0,1
116,97,M,57,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,39814.62773722628,274,1229270,0,102876.0,1
118,98,M,77,Brno - venkov,south Moravia,8743,2.43,POPLATEK MESICNE,15575.688679245282,106,172406,0,0.0,0
120,99,M,23,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,48417.2379032258,248,2513988,0,0.0,0
121,100,F,21,Usti nad Labem,north Bohemia,9832,4.48,POPLATEK MESICNE,42188.22222222222,405,1691619,0,0.0,0
122,101,F,36,Jablonec n. Nisou,north Bohemia,8867,1.21,POPLATEK MESICNE,47642.278846153844,208,1278571,0,0.0,0
123,102,M,30,Praha - zapad,central Bohemia,9622,0.59,POPLATEK MESICNE,30807.82131661442,319,1768092,0,0.0,0
124,103,M,32,Chrudim,east Bohemia,8254,3.76,POPLATEK MESICNE,48288.84864864865,185,1714758,1,265320.0,0
125,104,M,63,Litomerice,north Bohemia,9065,5.39,POPLATEK MESICNE,20608.267532467533,385,402639,0,0.0,0
127,105,F,49,Tabor,south Bohemia,9104,2.07,POPLATEK MESICNE,30200.627118644068,59,493762,1,352704.0,1
128,106,F,26,Vyskov,south Moravia,8288,4.52,POPLATEK MESICNE,45592.53191489362,282,1854795,0,0.0,1
129,107,F,52,Zlin,south Moravia,9624,2.31,POPLATEK MESICNE,32995.533613445376,476,1058023,0,0.0,0
130,108,M,57,Blansko,south Moravia,8240,3.56,POPLATEK MESICNE,52509.634854771786,241,1532849,0,0.0,1
131,109,F,22,Blansko,south Moravia,8240,3.56,POPLATEK MESICNE,34065.25663716814,113,203528,0,0.0,1
132,110,M,46,Liberec,north Bohemia,9198,4.28,POPLATEK MESICNE,45365.325358851675,209,1429406,1,162576.0,1
134,112,M,67,Kutna Hora,central Bohemia,8546,4.02,POPLATEK MESICNE,24899.38202247191,356,884722,0,0.0,0
136,113,F,78,Brno - venkov,south Moravia,8743,2.43,POPLATEK MESICNE,20808.889705882353,136,351164,0,0.0,0
137,114,M,76,Prostejov,south Moravia,8441,4.48,POPLATEK MESICNE,20649.59223300971,103,155718,0,0.0,0
138,115,F,27,Brno - mesto,south Moravia,9897,1.96,POPLATEK MESICNE,32952.45212765958,376,1235603,0,0.0,1
139,116,F,40,Mlada Boleslav,central Bohemia,11277,1.44,POPLATEK MESICNE,35364.651685393255,178,1607845,0,0.0,0
141,117,M,74,Tachov,west Bohemia,8930,4.2,POPLATEK MESICNE,21606.00303030303,330,623427,0,0.0,0
142,118,M,62,Frydek - Mistek,north Moravia,9893,4.72,POPLATEK MESICNE,27678.08219178082,73,134560,0,0.0,0
143,119,M,21,Plzen - jih,west Bohemia,8561,1.29,POPLATEK MESICNE,39911.20506329114,395,3110282,0,0.0,0
144,120,M,41,Znojmo,south Moravia,8403,5.72,POPLATEK TYDNE,45758.21224489796,245,2127817,0,0.0,0
145,121,M,21,Brno - venkov,south Moravia,8743,2.43,POPLATEK MESICNE,27489.521739130436,92,117133,0,0.0,0
146,122,F,38,Tachov,west Bohemia,8930,4.2,POPLATEK MESICNE,55008.645454545454,110,1244009,0,0.0,1
147,123,F,66,Tabor,south Bohemia,9104,2.07,POPLATEK MESICNE,17649.032934131737,334,654464,0,0.0,0
149,124,M,51,Brno - venkov,south Moravia,8743,2.43,POPLATEK MESICNE,17890.72857142857,70,89506,0,0.0,0
150,125,F,19,Benesov,central Bohemia,8507,1.85,POPLATEK PO OBRATU,48176.62666666666,150,1902747,0,0.0,0
151,126,F,28,Trutnov,east Bohemia,8541,2.97,POPLATEK MESICNE,44559.346268656715,335,3166496,0,0.0,0
152,127,F,54,Rokycany,west Bohemia,8843,3.6,POPLATEK MESICNE,15760.390510948906,274,387668,0,0.0,0
153,128,F,18,Rakovnik,central Bohemia,8598,3.26,POPLATEK MESICNE,43410.67167919799,399,814902,0,0.0,1
154,129,M,66,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,21630.4776119403,67,193880,0,0.0,0
156,130,F,69,Brno - mesto,south Moravia,9897,1.96,POPLATEK MESICNE,26258.514563106797,103,275462,0,0.0,0
157,131,F,56,Usti nad Orlici,east Bohemia,8363,3.49,POPLATEK MESICNE,25011.849056603773,212,955788,0,0.0,0
158,132,F,54,Teplice,north Bohemia,9317,7.07,POPLATEK PO OBRATU,52603.11616161616,198,2535955,0,88440.0,1
160,133,F,57,Zlin,south Moravia,9624,2.31,POPLATEK TYDNE,49742.02654867257,113,1341991,0,0.0,0
161,134,F,56,Chomutov,north Bohemia,9675,7.68,POPLATEK MESICNE,36312.208333333336,48,235738,0,0.0,1
162,135,M,58,Znojmo,south Moravia,8403,5.72,POPLATEK MESICNE,40000.69018404908,326,742512,0,0.0,0
163,136,M,66,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,20929.480263157893,152,374630,0,0.0,0
164,137,F,37,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,37759.45856353591,181,1422946,0,0.0,0
165,138,M,31,Domazlice,west Bohemia,8620,1.25,POPLATEK MESICNE,15608.333333333334,24,54000,0,0.0,0
167,139,F,21,Louny,north Bohemia,8965,8.23,POPLATEK TYDNE,58606.57142857143,98,1334277,0,0.0,1
168,140,F,23,Karlovy Vary,west Bohemia,8991,2.01,POPLATEK MESICNE,36272.0,66,333223,0,0.0,0
169,141,M,46,Louny,north Bohemia,8965,8.23,POPLATEK MESICNE,36935.94190871369,241,2190444,0,0.0,0
171,142,M,70,Trutnov,east Bohemia,8541,2.97,POPLATEK MESICNE,22251.616045845272,349,629147,0,0.0,0
173,143,F,81,Tabor,south Bohemia,9104,2.07,POPLATEK MESICNE,17934.605263157893,114,227391,0,0.0,0
174,144,M,21,Praha - vychod,central Bohemia,10124,0.54,POPLATEK TYDNE,53206.25409836065,122,1533261,0,0.0,1
175,145,M,39,Tachov,west Bohemia,8930,4.2,POPLATEK MESICNE,43671.186274509804,204,658695,0,0.0,0
176,146,M,70,Kladno,central Bohemia,9753,5.05,POPLATEK MESICNE,22958.236065573772,305,780292,0,0.0,0
178,148,M,39,Mlada Boleslav,central Bohemia,11277,1.44,POPLATEK MESICNE,17584.51235955056,445,440816,0,0.0,0
179,149,M,19,Hradec Kralove,east Bohemia,9425,2.5,POPLATEK MESICNE,36291.25806451613,62,122918,0,0.0,0
180,150,M,17,Opava,north Moravia,8746,3.74,POPLATEK MESICNE,39392.94672131148,244,544413,0,0.0,0
181,151,M,32,Sumperk,north Moravia,8369,5.88,POPLATEK MESICNE,19095.84010152284,394,722606,0,0.0,0
183,152,F,21,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,19915.85714285714,196,401500,0,0.0,0
185,153,M,45,Vsetin,north Moravia,8909,5.56,POPLATEK MESICNE,27760.5,336,1887249,0,0.0,0
186,154,F,38,Nachod,east Bohemia,8369,2.31,POPLATEK MESICNE,53880.90506329114,316,1594131,0,0.0,0
187,155,M,57,Jihlava,south Moravia,8757,3.95,POPLATEK MESICNE,25613.385365853657,205,464137,0,0.0,0
188,156,M,39,Zlin,south Moravia,9624,2.31,POPLATEK MESICNE,15670.020408163266,49,84422,0,0.0,0
189,157,M,80,Praha - zapad,central Bohemia,9622,0.59,POPLATEK MESICNE,23814.247311827956,93,260427,0,0.0,0
190,158,F,52,Litomerice,north Bohemia,9065,5.39,POPLATEK MESICNE,43642.596153846156,260,2405413,0,0.0,0
192,159,M,28,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,48505.82142857143,112,980219,0,0.0,1
193,160,M,37,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,53673.3409610984,437,1847782,0,0.0,0
194,161,F,75,Plzen - sever,west Bohemia,8594,2.01,POPLATEK MESICNE,20418.713815789473,304,472972,0,0.0,0
195,162,M,80,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,26178.88811188811,286,655479,0,0.0,0
197,163,M,66,Sokolov,west Bohemia,9650,3.67,POPLATEK MESICNE,27620.764976958526,434,930544,0,0.0,0
198,164,M,23,Prostejov,south Moravia,8441,4.48,POPLATEK MESICNE,26588.58823529412,51,281459,0,0.0,0
199,165,M,76,Rokycany,west Bohemia,8843,3.6,POPLATEK MESICNE,32643.99193548387,372,878295,0,0.0,0
201,166,F,69,Pelhrimov,south Bohemia,8114,2.62,POPLATEK MESICNE,24419.134453781513,119,240358,0,0.0,0
202,167,F,23,Rokycany,west Bohemia,8843,3.6,POPLATEK TYDNE,65461.581920903955,177,2755589,0,0.0,1
203,168,M,37,Tachov,west Bohemia,8930,4.2,POPLATEK MESICNE,17309.823708206688,329,404917,0,0.0,0
205,169,F,57,Kladno,central Bohemia,9753,5.05,POPLATEK MESICNE,52138.62380952381,210,1054696,0,0.0,0
206,170,F,36,Kromeriz,south Moravia,8444,3.47,POPLATEK MESICNE,48522.916666666664,144,1081252,0,0.0,0
207,171,M,67,Nachod,east Bohemia,8369,2.31,POPLATEK MESICNE,19808.849673202614,153,362107,0,0.0,0
208,172,F,59,Rakovnik,central Bohemia,8598,3.26,POPLATEK MESICNE,45636.99470899471,378,3083101,0,0.0,1
210,173,M,60,Zdar nad Sazavou,south Moravia,8512,4.12,POPLATEK MESICNE,37433.91433566433,572,2581475,0,104808.0,0
212,174,M,24,Usti nad Orlici,east Bohemia,8363,3.49,POPLATEK MESICNE,15298.256198347108,121,173376,0,0.0,0
215,176,M,32,Novy Jicin,north Moravia,8678,5.57,POPLATEK TYDNE,49256.13868613139,274,2890719,0,27456.0,0
216,177,M,39,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,45481.30508474576,59,588666,0,0.0,0
217,178,F,25,Kromeriz,south Moravia,8444,3.47,POPLATEK MESICNE,13331.342105263158,76,80844,0,0.0,0
218,179,F,19,Hl.m. Praha,Prague,12541,0.43,POPLATEK TYDNE,53200.075630252104,119,1242390,0,0.0,0
219,180,F,35,Prostejov,south Moravia,8441,4.48,POPLATEK TYDNE,49759.62839879154,331,3209818,0,0.0,1
221,181,F,22,Tabor,south Bohemia,9104,2.07,POPLATEK MESICNE,35269.30177514793,169,709791,0,0.0,1
222,182,F,27,Pardubice,east Bohemia,9538,1.81,POPLATEK MESICNE,11966.666666666666,9,29400,0,0.0,0
223,183,F,47,Hradec Kralove,east Bohemia,9425,2.5,POPLATEK MESICNE,35486.007894736846,380,1895895,0,0.0,0
224,184,M,44,Vsetin,north Moravia,8909,5.56,POPLATEK MESICNE,46222.41717791411,163,1406508,0,0.0,0
225,185,M,63,Ceska Lipa,north Bohemia,9272,3.22,POPLATEK MESICNE,53162.885416666664,96,694322,0,0.0,1
226,186,M,57,Hl.m. Praha,Prague,12541,0.43,POPLATEK TYDNE,66521.72397094431,413,5133111,0,0.0,0
227,187,F,73,Usti nad Orlici,east Bohemia,8363,3.49,POPLATEK MESICNE,17630.60248447205,322,564129,0,0.0,0
228,188,F,43,Rychnov nad Kneznou,east Bohemia,9060,2.44,POPLATEK MESICNE,56413.67990074441,403,2817194,0,0.0,0
229,189,M,30,Sumperk,north Moravia,8369,5.88,POPLATEK MESICNE,45002.87234042553,141,862961,0,0.0,0
230,190,F,32,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,32975.64415584416,385,1726310,0,0.0,0
231,191,M,58,Usti nad Labem,north Bohemia,9832,4.48,POPLATEK MESICNE,60468.8962264151,106,1951562,0,0.0,1
232,192,F,78,Brno - venkov,south Moravia,8743,2.43,POPLATEK MESICNE,26035.747851002867,349,816589,0,0.0,0
233,193,F,41,Jesenik,north Moravia,8173,7.01,POPLATEK MESICNE,24383.260162601626,123,556325,0,0.0,0
235,194,F,56,Chrudim,east Bohemia,8254,3.76,POPLATEK MESICNE,26973.256097560974,164,289146,0,0.0,0
236,195,M,38,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,38871.89473684211,114,666565,0,0.0,1
238,196,F,38,Kutna Hora,central Bohemia,8546,4.02,POPLATEK MESICNE,49601.30158730159,504,1761813,0,0.0,1
239,197,F,25,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,42000.83689839572,374,3280610,0,0.0,0
240,198,F,70,Chomutov,north Bohemia,9675,7.68,POPLATEK MESICNE,21220.65045592705,329,522878,0,0.0,0
241,199,M,40,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,21014.92380952381,105,133207,0,0.0,0
242,200,F,38,Pelhrimov,south Bohemia,8114,2.62,POPLATEK MESICNE,68127.96296296296,243,1042562,0,0.0,1
243,201,M,45,Vyskov,south Moravia,8288,4.52,POPLATEK MESICNE,34994.006920415224,289,1715259,0,0.0,0
246,204,F,29,Bruntal,north Moravia,8110,6.55,POPLATEK MESICNE,17153.35849056604,159,185379,0,0.0,0
247,205,M,42,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,35806.042253521126,71,222063,0,0.0,0
248,206,F,30,Trebic,south Moravia,8814,5.74,POPLATEK MESICNE,26727.8828125,256,556118,0,0.0,0
250,207,F,20,Mlada Boleslav,central Bohemia,11277,1.44,POPLATEK MESICNE,22454.22869022869,481,819181,0,0.0,0
251,208,F,23,Brno - mesto,south Moravia,9897,1.96,POPLATEK MESICNE,34084.470802919706,274,1083147,0,0.0,0
252,209,F,30,Litomerice,north Bohemia,9065,5.39,POPLATEK MESICNE,23741.005714285715,175,217282,0,0.0,0
253,210,F,52,Rychnov nad Kneznou,east Bohemia,9060,2.44,POPLATEK MESICNE,29675.11827956989,186,1197490,0,0.0,0
254,211,M,36,Plzen - sever,west Bohemia,8594,2.01,POPLATEK MESICNE,75988.22093023256,86,1415763,0,0.0,1
255,212,F,48,Plzen - jih,west Bohemia,8561,1.29,POPLATEK TYDNE,58325.04398148148,432,7619103,0,0.0,1
256,213,F,36,Opava,north Moravia,8746,3.74,POPLATEK MESICNE,51679.302127659575,235,2092233,0,0.0,1
257,214,F,57,Domazlice,west Bohemia,8620,1.25,POPLATEK MESICNE,13476.955555555556,90,119966,0,0.0,0
259,215,M,33,Tachov,west Bohemia,8930,4.2,POPLATEK MESICNE,14534.021739130434,46,70719,0,0.0,0
261,216,F,62,Louny,north Bohemia,8965,8.23,POPLATEK MESICNE,25681.67638483965,343,702235,0,0.0,0
262,217,M,54,Vsetin,north Moravia,8909,5.56,POPLATEK MESICNE,25752.571428571428,245,1127287,0,0.0,0
263,218,M,37,Frydek - Mistek,north Moravia,9893,4.72,POPLATEK MESICNE,50781.87946428572,224,3620109,0,0.0,0
264,219,M,21,Plzen - sever,west Bohemia,8594,2.01,POPLATEK MESICNE,54036.63137254902,255,1488096,0,0.0,1
265,220,F,66,Olomouc,north Moravia,8994,4.79,POPLATEK MESICNE,19962.823353293414,334,699330,0,0.0,0
266,221,F,32,Prachatice,south Bohemia,8402,3.98,POPLATEK MESICNE,42831.712230215824,139,1176761,0,0.0,0
267,222,M,32,Litomerice,north Bohemia,9065,5.39,POPLATEK MESICNE,54980.80952380953,357,5135613,0,0.0,1
268,223,F,17,Most,north Bohemia,10446,9.4,POPLATEK MESICNE,37356.45238095238,126,628543,0,0.0,1
269,224,F,76,Cesky Krumlov,south Bohemia,9045,3.6,POPLATEK MESICNE,18627.073770491803,122,286529,0,0.0,0
270,225,M,52,Nachod,east Bohemia,8369,2.31,POPLATEK MESICNE,37172.83371298405,439,1034081,0,0.0,0
272,226,F,55,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,49699.01550387597,129,933130,1,109344.0,1
273,227,F,27,Plzen - jih,west Bohemia,8561,1.29,POPLATEK MESICNE,48098.7859922179,257,4315051,0,0.0,1
274,228,F,29,Pelhrimov,south Bohemia,8114,2.62,POPLATEK MESICNE,41301.8645320197,406,2917884,0,0.0,0
275,229,F,81,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,20885.112359550563,89,189478,0,0.0,0
276,230,M,42,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,37089.09163346614,251,1298914,0,0.0,0
278,231,F,27,Domazlice,west Bohemia,8620,1.25,POPLATEK MESICNE,16568.84140969163,227,270262,0,0.0,0
280,232,F,30,Jicin,east Bohemia,8390,2.89,POPLATEK MESICNE,50509.70491803279,61,579517,0,0.0,1
282,234,F,61,Opava,north Moravia,8746,3.74,POPLATEK MESICNE,16960.346875,320,749289,0,0.0,0
284,235,M,25,Praha - vychod,central Bohemia,10124,0.54,POPLATEK MESICNE,20774.407608695652,368,414599,0,0.0,0
